Cell line,Target 1,Target 2,Treatment,Nucleus,Dots,Dots/Nuclea
T47D,ER,IgG,Ethanol,35,46,1.314285714
T47D,ER,IgG,Ethanol,41,152,3.707317073
T47D,ER,IgG,Ethanol,20,55,2.75
MDA-MB-231,ER,ER,Fulvestrant,21,16,0.761904762
MDA-MB-231,ER,ER,Fulvestrant,12,12,1
MDA-MB-231,ER,ER,Fulvestrant,10,10,1
MDA-MB-231,ER,ER,Fulvestrant,12,8,0.666666667
MDA-MB-231,ER,ER,Fulvestrant,8,9,1.125
MDA-MB-231,ER,ER,Fulvestrant,10,7,0.7
MDA-MB-231,ER,ER,Fulvestrant,12,8,0.666666667
MDA-MB-231,ER,ER,Fulvestrant,16,13,0.8125
MDA-MB-231,ER,ER,Ethanol,15,12,0.8
MDA-MB-231,ER,ER,Ethanol,12,18,1.5
MDA-MB-231,ER,ER,Ethanol,13,22,1.692307692
MDA-MB-231,ER,ER,Ethanol,13,8,0.615384615
MDA-MB-231,ER,ER,Ethanol,9,8,0.888888889
MDA-MB-231,ER,ER,Ethanol,9,43,4.777777778
MDA-MB-231,ER,ER,Ethanol,13,14,1.076923077
MDA-MB-231,ER,ER,Ethanol,22,19,0.863636364
MDA-MB-231,ER,ZMIZ1,Fulvestrant,15,12,0.8
MDA-MB-231,ER,ZMIZ1,Fulvestrant,12,18,1.5
MDA-MB-231,ER,ZMIZ1,Fulvestrant,13,22,1.692307692
MDA-MB-231,ER,ZMIZ1,Fulvestrant,13,8,0.615384615
MDA-MB-231,ER,ZMIZ1,Fulvestrant,9,8,0.888888889
MDA-MB-231,ER,ZMIZ1,Fulvestrant,9,43,4.777777778
MDA-MB-231,ER,ZMIZ1,Fulvestrant,13,14,1.076923077
MDA-MB-231,ER,ZMIZ1,Fulvestrant,22,19,0.863636364
MDA-MB-231,ER,ZMIZ1,Ethanol,13,59,4.538461538
MDA-MB-231,ER,ZMIZ1,Ethanol,12,38,3.166666667
MDA-MB-231,ER,ZMIZ1,Ethanol,18,68,3.777777778
